TICKER,WEIGHTAGE,2024-10-01,2024-10-02,2024-10-03,2024-10-04,2024-10-05,2024-10-06,2024-10-07,2024-10-08,2024-10-09,2024-10-10

ADANIPORTS.NS,0.0082,0.5587734241908008,Data Not Found,0.5753578642251234,0.5800382176714852,Data Not Found,Data Not Found,0.6050767632414138,0.5780550363220588,0.582324316147497,Data Not Found

APOLLOHOSP.NS,0.0061,0.08527473025538938,Data Not Found,0.08832962630023673,0.0900555083272583,Data Not Found,Data Not Found,0.09006149410467328,0.08809555004927026,0.08703220312734361,Data Not Found

ASIANPAINT.NS,0.0195,0.5949928881246207,Data Not Found,0.6191852061621146,0.6346623270951993,Data Not Found,Data Not Found,0.6367866764633847,0.6314664494314137,0.6333533423677956,Data Not Found

AXISBANK.NS,0.0257,2.0951371204901084,Data Not Found,2.1859318761035595,2.1809232406269548,Data Not Found,Data Not Found,2.2431702099413418,2.228388009357489,2.1962995738831816,Data Not Found

BAJAJFINSV.NS,0.012,0.6075180356916846,Data Not Found,0.6271558402260783,0.636756768941318,Data Not Found,Data Not Found,0.638535608376259,0.652830282654713,0.6427595979457115,Data Not Found

BAJFINANCE.NS,0.0237,0.3076723354537193,Data Not Found,0.31881191695635824,0.3286485842325517,Data Not Found,Data Not Found,0.32602416043116306,0.32976435561578965,0.32463751365932725,Data Not Found

BHARTIARTL.NS,0.0233,1.3716371737060524,Data Not Found,1.392333244485955,1.4199524439839066,Data Not Found,Data Not Found,1.4018831753248537,1.4057739712457735,1.3884750812814,Data Not Found

BPCL.NS,0.0046,1.2491513917175832,Data Not Found,1.3186182942576827,1.351947097722263,Data Not Found,Data Not Found,1.373134328358209,1.3609467455621302,1.3575328071839377,Data Not Found

BRITANNIA.NS,0.0052,0.0806695597700566,Data Not Found,0.08212579460654637,0.0837898807605543,Data Not Found,Data Not Found,0.08496315811224397,0.08381148994015793,0.08528434950182459,Data Not Found

CIPLA.NS,0.0068,0.4084452112633612,Data Not Found,0.41049167242549955,0.4188997594689276,Data Not Found,Data Not Found,0.41855168176619767,0.41445725619380186,0.4046414757512645,Data Not Found

COALINDIA.NS,0.0051,1.0029498525073748,Data Not Found,1.0152284140609884,1.025744142153478,Data Not Found,Data Not Found,1.0615048122430588,1.0369014814908115,1.047335429130596,Data Not Found

DIVISLAB.NS,0.0077,0.1419668917968783,Data Not Found,0.1417969592277993,0.14192110066610114,Data Not Found,Data Not Found,0.14247781621955477,0.13881252685874865,0.1285529446137151,Data Not Found

DRREDDY.NS,0.0067,0.4963624977108763,Data Not Found,0.49735363147692907,0.5050314609506127,Data Not Found,Data Not Found,0.5068155417621606,0.503301522419615,0.5026369796212163,Data Not Found

EICHERMOT.NS,0.0049,0.09853901031099117,Data Not Found,0.10245687401986409,0.10410470390349069,Data Not Found,Data Not Found,0.10497112854632686,0.10440080955570356,0.1040582747907029,Data Not Found

GRASIM.NS,0.0085,0.30344680921531425,Data Not Found,0.3072863113021452,0.3096426249540864,Data Not Found,Data Not Found,0.3124425657048337,0.31042291109391895,0.3129890453834116,Data Not Found

HCLTECH.NS,0.0153,0.8422791081750619,Data Not Found,0.860251304712008,0.8611955538811674,Data Not Found,Data Not Found,0.8610259388515615,0.8550113396566545,0.8454440190536808,Data Not Found

HDFCBANK.NS,0.081,4.692388036797885,Data Not Found,4.815695600475625,4.88643554471828,Data Not Found,Data Not Found,5.0067992060374475,4.905968783774412,4.959740304878664,Data Not Found

HDFCLIFE.NS,0.0072,1.0137989124535693,Data Not Found,1.0252758988964044,1.0158013718960484,Data Not Found,Data Not Found,1.0200467874243622,1.0139417332128389,1.003764132514959,Data Not Found

HEROMOTOCO.NS,0.0043,0.07478130688112172,Data Not Found,0.07593483731402587,0.07788655594589439,Data Not Found,Data Not Found,0.07815979410631273,0.07775979319624768,0.07741331372918052,Data Not Found

HINDALCO.NS,0.0094,1.2343247522387772,Data Not Found,1.2581984081351019,1.2568524793623814,Data Not Found,Data Not Found,1.285382217545058,1.3022998280648583,1.292007443847949,Data Not Found

HINDUNILVR.NS,0.0267,0.9132107738349722,Data Not Found,0.9228057130600358,0.9372531812198333,Data Not Found,Data Not Found,0.942330801166264,0.9472115629875959,0.9642644493700591,Data Not Found

ICICIBANK.NS,0.069,5.414312513978842,Data Not Found,5.4921002380582475,5.5656382335148225,Data Not Found,Data Not Found,5.592025175035213,5.579815733645456,5.545954960897569,Data Not Found

INDUSINDBK.NS,0.0085,0.6029651907793572,Data Not Found,0.6125022518465142,0.6146726073013382,Data Not Found,Data Not Found,0.6292334569805271,0.6252068474659425,0.6335954448680425,Data Not Found

INFY.NS,0.0766,4.022369889044761,Data Not Found,4.045632143883851,3.9934311198311514,Data Not Found,Data Not Found,3.9600888210909826,3.931128176362106,3.922673153245423,Data Not Found

ITC.NS,0.0303,5.869817761230049,Data Not Found,5.90931253047294,6.017277476820761,Data Not Found,Data Not Found,5.938847368687386,5.965153907241224,6.162293928770969,Data Not Found

JSWSTEEL.NS,0.0094,0.9150199117310361,Data Not Found,0.904629027125079,0.909310761789601,Data Not Found,Data Not Found,0.9226993865030675,0.9416950395759359,0.9451985922574158,Data Not Found

KOTAKBANK.NS,0.0351,1.8676173004170877,Data Not Found,1.9256089016766118,1.9402985074626866,Data Not Found,Data Not Found,1.960620025136154,1.9463235846081481,1.9491336654972555,Data Not Found

LT.NS,0.0274,0.7499657862323799,Data Not Found,0.7833831505445831,0.784212721501921,Data Not Found,Data Not Found,0.7900009868817928,0.7756766152614849,0.7857531826636147,Data Not Found

MARUTI.NS,0.0137,0.10405590156463618,Data Not Found,0.108323090790854,0.10868056244174286,Data Not Found,Data Not Found,0.10935940929954101,0.10932057490241544,0.10736087981310415,Data Not Found

NESTLEIND.NS,0.0087,0.3213830495585483,Data Not Found,0.32525187140853573,0.3348536584494939,Data Not Found,Data Not Found,0.33801502301638414,0.33698073012491525,0.3457869634340222,Data Not Found

NTPC.NS,0.0099,2.2494887213592607,Data Not Found,2.274032355852551,2.2999186245204357,Data Not Found,Data Not Found,2.382958168037442,2.3518231887189,2.365873990010043,Data Not Found

ONGC.NS,0.0078,2.671690246229127,Data Not Found,2.670775663763883,2.6418289585097376,Data Not Found,Data Not Found,2.69476582174783,2.6580336260122692,2.703639514731369,Data Not Found

POWERGRID.NS,0.0104,2.9646523266522338,Data Not Found,3.021938161977181,3.069204607546294,Data Not Found,Data Not Found,3.1615745900792223,3.1789699507959432,3.153904473085671,Data Not Found

RELIANCE.NS,0.1286,8.779205999810332,Data Not Found,9.140176778655517,9.274985862901797,Data Not Found,Data Not Found,9.381896608765588,9.203134665392282,9.35544902401027,Data Not Found

SBILIFE.NS,0.0065,0.35437793986675953,Data Not Found,0.3600010979600794,0.3614926916331156,Data Not Found,Data Not Found,0.3635448517862432,0.37614651290962126,0.374122246383191,Data Not Found

SBIN.NS,0.0254,3.187150964419786,Data Not Found,3.1985896966258265,3.1883511230269206,Data Not Found,Data Not Found,3.2959189249766165,3.2503678550421116,3.1853522977584774,Data Not Found

SHREECEM.NS,0.0046,0.01734327429707898,Data Not Found,0.017517670518739342,0.01766906660484894,Data Not Found,Data Not Found,0.01812704354477292,0.017980760311624776,0.01841838096863229,Data Not Found

SUNPHARMA.NS,0.0134,0.697934859803042,Data Not Found,0.7012586111524042,0.7015522974500755,Data Not Found,Data Not Found,0.7033197743078337,0.6989541678719398,0.6939948814994611,Data Not Found

TATACONSUM.NS,0.0066,0.5517241379310345,Data Not Found,0.5725439167208849,0.5838641062858326,Data Not Found,Data Not Found,0.5938455870989893,0.5897859534443124,0.5904454921897063,Data Not Found

TATAMOTORS.NS,0.0105,1.0878574251144741,Data Not Found,1.1342767485728078,1.1281224818694602,Data Not Found,Data Not Found,1.1316484643295106,1.1415525265655222,1.1180322341524689,Data Not Found

TATASTEEL.NS,0.0137,8.202119439695581,Data Not Found,8.204575608178997,8.215892053973013,Data Not Found,Data Not Found,8.335361370847524,8.58826456436168,8.61310210630002,Data Not Found

TCS.NS,0.0491,1.1450827005817492,Data Not Found,1.16000236253027,1.1546828149803046,Data Not Found,Data Not Found,1.1491159033857146,1.1544113325104333,1.1544927108273415,Data Not Found

TECHM.NS,0.0105,0.6459948223382811,Data Not Found,0.6545930413873938,0.6495716116906578,Data Not Found,Data Not Found,0.648728780898823,0.644527662964544,0.6329876833207128,Data Not Found

TITAN.NS,0.0137,0.3628226056266496,Data Not Found,0.37279419262924435,0.3732868214888447,Data Not Found,Data Not Found,0.3816953402521418,0.3921736904981717,0.39216248097111983,Data Not Found

ULTRACEMCO.NS,0.0102,0.0861693875924596,Data Not Found,0.08699508878541454,0.08908102443178098,Data Not Found,Data Not Found,0.09082531136417274,0.08955381284052215,0.08986665065182749,Data Not Found

UPL.NS,0.006,0.9658724858492665,Data Not Found,0.9909984109387256,1.0011680497602031,Data Not Found,Data Not Found,1.0339479797026285,1.0402219360229226,1.0387812073422253,Data Not Found

WIPRO.NS,0.0101,3.6945587562871514,Data Not Found,3.810242208764517,3.785962039575217,Data Not Found,Data Not Found,3.8009219185286054,3.833380687362752,3.8030686381467467,Data Not Found

